CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	HOWPUBLISHED	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
book	khajdakov1962	Хайдаков, Саид М.	Лакско-русский словарь	1962	Lak-Russian dictionary	Государственное издательство иностранных и национальных словарей	Moscow												Samira Verhees		Editor Л.И.Жирков, but I think it is usually attributed to the compiler only.	
book	khajdakov1966	Хайдаков, Саид М.	Очерки по лакской диалектологии	1966	Sketches of Lak dialectology	Наука	Moscow												Chiara Naccarato	19.08.2021	NOT IN THE FOLDER	
phdthesis	khalilova2009	Khalilova, Zaira	A grammar of Khwarshi	2009												University of Leiden						
article	khalilova2011	Khalilova, Zaira	Evidentiality in Tsezic languages	2011				30--48					Linguistic Discovery	9	2							
book	kibrik1977	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том {II}. Таксономическая грамматика	1977	Structural description of Archi. Volume II. Taxonomic grammar	Издательство Московского университета	Moscow															
book	kibrik1977dict	Кибрик, Александр Е.	Арчинский язык. Тексты и словари	1977	Archi. Texts and dictionaries	Издательство Московского университета	Moscow												Chiara Naccarato	02.02.2021		
book	kibrik1977dynamic	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том {III}. Динамическая грамматика	1977	Structural description of Archi. Volume III. Dynamic grammar	Издательство Московского университета	Moscow												Chiara Naccarato	02.02.2021		
book	kibrik1977vocphon	Кибрик, Александр Е. and Кодзасов, Сандро В. and Оловянникова, Ирина П. and Самедов, Д. С.	Опыт структурного описания арчинского языка. Том {I}. Лексика и фонетика	1977	Structural description of Archi. Volume I. Vocabulary and phonetics	Издательство Московского университета	Moscow												Maksim Melenchenko	11.08.2021		author name
incollection	kibrik1985	Kibrik, Andrej A.	Absentiv-aorist und resultativ in der andischen Sprache	1985		Friedrich Schiller Universität	Jena	55--66	Sprachen Europas und Asiens		Fähnrich, Heinz								Samira Verhees	13.10.2021		
incollection	kibrik1994a	Kibrik, Aleksandr E.	Archi	1994		Caravan Press	Delmar, NY	297--365	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2		Smeets, Rieks								Chiara Naccarato	19.08.2021	NOT IN THE FOLDER	
incollection	kibrik1994b	Kibrik, Aleksandr E.	Khinalug	1994		Caravan Press	Delmar, NY	367--406	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2		Smeets, Rieks								Chiara Naccarato	19.08.2021	NOT IN THE FOLDER	
book	kibrik1999		Элементы цахурского языка в типологическом освещении	1999	Elements of Tsakhur grammar in a typological perspective	Наследие	Moscow				Кибрик, Александр Е.								Samira Verhees	28.01.2021		
incollection	kibrik1999sem	Кибрик, Александр Е.	Семантическая эргативность	1999	Semantic ergativity	Наследие	Moscow	347--353	Элементы цахурского языка в типологическом освещении	Elements of Tsakhur grammar in a typological perspective	Кибрик, Александр Е.								Chiara Naccarato	05.11.2021		
book	kibrik2001		Багвалинский язык. Грамматика, тексты, словари	2001	The Bagvalal language. Grammar, texts, dictionary	Наследие	Moscow				Кибрик, Александр Е. and Казенин, Константин И. and Лютикова, Екатерина А. and Татевосов, Сергей Г.											
book	kibriketal1972	Кибрик, Александр Е. and Кодзасов, Сандро В. and Оловянникова, Ирина П.	Фрагменты грамматики хиналугского языка	1972	Fragments of Khinalug grammar	Издательство Академии наук СССР	Moscow															
book	kibriketal1996		Godoberi	1996		Lincom Europa	Munich/Newcastle				Kibrik, Alexandr and Tatevosov, Sergej and Eulenberg, Alexander											
book	kibrikkodzasov1990	Кибрик, Александр Е. and Кодзасов, Сандро В.  	Сопоставительное изучение дагестанских языков. Имя. Фонетика	1990	A comparative study of Daghestanian languages. Noun. Phonetics	Издательство Академии наук СССР	Moscow															
incollection	kozhukhar2019	Kozhukhar, Aleksandra	The self-pronoun in Mehweb	2019		Language Science Press	Berlin	271--293	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry								Chiara Naccarato	08.02.2021		
incollection	kozintseva2000	Kozintseva, Natalia A.	Perfect forms as a means of expressing evidentiality in Modern Eastern Armenian	2000		Mouton de Gruyter	Berlin/New York	401--418	Evidentials. Turkic, Iranian and neighbouring languages		Johanson, Lars and Utas, Bo								Samira Verhees			
misc	kumyktil	NA	Къумукъ тил	2021													Accessed: 2021-12-17	https://кумыкский-язык.рф/ru/slovar	Chiara Naccarato	17.12.2021		author?
book	maciev1961	Мациев, Ахмет Г.	Чеченско-русский словарь	1961	Chechen-Russian dictionary	Государственное издательство иностранных и национальных словарей	Moscow												Anastasia Panova	30.08.2021		
book	madieva1965	Мадиева, Гюльшахан И.	Грамматический очерк бежтинского языка	1965	Grammatical profile of Bezhta	ДГУ	Makhachkala															
book	magomedbekova1967	Магомедбекова, Загидат М.	Ахвахский язык	1967	Akhvakh	Мецниереба	Tbilisi															
book	magomedbekova1971	Магомедбекова, Загидат М.	Каратинский язык	1971	Karata 	Мецниереба	Tbilisi															
incollection	magomedbekova1998	Магомедбекова, Загидат М.	Тиндинский язык	1998	Tindi	Academia	Moscow	25--32	Языки мира. Кавказские языки	Languages of the world. Caucasian languages	Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.								Chiara Naccarato	19.08.2021		
incollection	magomedbekova2001	Магомедбекова, Загидат М.	Ботлихский язык	2001	Botlikh	Academia	Moscow	228--236	Языки мира. Кавказские языки	Languages of the world. Caucasian languages	Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.								Chiara Naccarato	05.02.2021		
book	magomedova1999	Магомедова, Патимат Т.	Чамалинско-русский словарь	1999	Chamalal-Russian dictionary	ИЯЛИ	Makhachkala															
book	magomedova2003	Магомедова, Патимат Т.	Тиндинско-русский словарь	2003	Tindi-Russian dictionary	ИЯЛИ	Makhachkala															
book	magomedova2004	Магомедова, Патимат Т.	Багвалинско-русский словарь	2004	Bagvalal-Russian dictionary	ИЯЛИ	Makhachkala															
book	magomedova2012	Магомедова, Патимат Т.	Тиндинский язык	2012	Tindi	ИЯЛИ	Makhachkala															
book	magomedovaabdulaeva2007	Магомедова, Патимат Т. and Абдулаева, Индира А.	Ахвахско-русский словарь	2007	Akhvakh-Russian dictionary	ИЯЛИ	Makhachkala												Samira Verhees			
book	magomedovaxalidova2001	Магомедова, Патимат Т. and Халидова, Рашидат Ш.	Каратинско-русский словарь	2001	Karata-Russian dictionary	ИЯЛИ	Makhachkala															
book	magomedovsaidovakutta2017	Магомедов, Амирбек Д. and Саидов-Аккутта, Набигулла И.	Кубачинско-русский словарь (рукопись)	2017	Kubachi-Russian dictionary (manuscript)	Наука	Saint-Petersburg												Polina Smyr	24.08.2021	the file is a preprint version, probably with "wrong" pages	comment added by Timur Maisak
book	magometov1963	Магометов, Александр А.	Кубачинский язык	1963	Kubachi	Академия Наук Грузинской ССР	Tbilisi															
book	magometov1965	Магометов, Александр А.	Табасаранский язык: исследование и тексты	1965	Tabasaran: research and texts	Мецниереба	Tbilisi															
book	magometov1970	Магометов, Александр А.	Агульский язык	1970	Agul	Мецниереба	Tbilisi															
book	magometov1982	Магометов, Александр А.	Мегебский диалект даргинского языка: исследование и тексты	1982	Mehweb dialect of Dargwa: research and texts	Мецниереба	Tbilisi												Polina Nasledskova			
misc	maisak2006	Майсак, Тимур А.	Краткий русско-удинский разговорник (Ниджский диалект) 	2006	Short Udi phrasebook (Nizh dialect)												Accessed: 2021-12-17	http://udilang.narod.ru/texts/Udirazgovornik.pdf	Chiara Naccarato	17.12.2021		
incollection	maisak2008	Майсак, Тимур А.	Глагольная парадигма удинского языка (Ниджский диалект)	2008	Verb paradigm in Udi (Nizh dialect)	Академия	Moscow	96--161	Удинский сборник: грамматика, лексика, история языка	Udi. Grammar. Lexicon. History of the language	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.											
book	maisak2014	Майсак, Тимур А.	Агульские тексты 1900-1960-х годов.	2014	Agul texts of the 1900-1960s	Academia	Moscow												Corrected (Chiara Naccarato)	01.02.2021		
incollection	maisak2016	Майсак, Тимур А.	Перфект и аорист в ниджском диалекте удинского языка	2016	Perfect and aorist in the Nizh dialect of Udi	Наука	Saint-Petersburg	315--378	Типология перфекта		Майсак, Тимур А. and Плунгян, Владимир А. and Семёнова, Ксения П.											
misc	maisak2016andi	Майсак, Тимур А.	Глагольная система рикванинского говора андийского языка: формообразование	2016	The verbal system of the Rikvani dialect of Andi: inflection	Handout													Samira Verhees			
misc	maisak2017	Maisak, Timur	Tense and aspect among the factors conditioning the distribution of quotatives: data from Andi	2017								Paper presented at the 12th Conference of the Association for Linguistic Typology (ALT), Workshop Reported speech as a syntactic domain, 15.12.2017, Canberra					12th Conference of the Association for Linguistic Typology (ALT) Workshop ``Reported speech as a syntactic domain'' Canberra, 15 December 2017. Hand-out					
incollection	maisak2018	Maisak, Timur	The Aorist/Perfect distinction in Nizh Udi	2018		Brill	Leiden	120--165	The semantics of verbal categories in Nakh-Daghestanian languages		Forker, Diana and Maisak, Timur											
misc	maisak2020	Maisak, Timur	Affixal, phrasal and clausal caritives in Nakh-Daghestanian	2020															Anastasia Panova	30.08.2021	this is a conference abstract	
incollection	maisak2021	Maisak, Timur	Structural and functional variations of the perfect in Lezgic languages	2021		John Benjamins	Amsterdam	88--115	The perfect volume		Eide, Kristin Melum and Fryd, Marc								Samira Verhees	18.05.2022	SV: added to folder	
incollection	maisakchumakina2001	Майсак, Тимур А. and Чумакина, Марина Э.	Дискурсивные частицы	2001	Discursive particles	Наследие	Moscow	702--723	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.											
incollection	maisakganenkov2016	Maisak, Timur and Ganenkov, Dmitry 	Aghul	2016		De Gruyter Mouton	Berlin/Boston	3579--3594	Word-Formation. An International Handbook of the Languages of Europe. Volume 5		Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz											
article	maisakmerdanova2002	Майсак, Тимур А. and Мерданова, Солмаз Р.	Категория эвиденциальности в агульском языке	2002	The category of evidentiality in Agul			102--112					Кавказоведение	1								
book	maisakmerdanova2002b	Майсак, Тимур А. and Мерданова, Солмаз Р.	Глагольная система хпюкского говора агульского языка	2002	Verb system of Huppuk Agul	Manuscript															NOT IN THE FOLDER	
incollection	maisakmerdanova2016	Майсак, Тимур А. and Мерданова, Солмаз Р.	Перфект и смежные значения в агульском языке	2016	The perfect and adjacent meanings in Agul	Наука	Saint-Petersburg	379--422	Типология перфекта	Typology of the perfect	Майсак, Тимур А. and Плунгян, Владимир А. and Семёнова, Ксения П.								Samira Verhees			
article	maisaktatevosov1998	Майсак, Тимур А. and Татевосов, Сергей Г.	Кодирование эпистемического статуса средствами морфосинтаксиса	1998	Encoding of epistemic status with morphosyntactic means			60--88					Вопросы языкознания		1				Samira Verhees			
incollection	maisaktatevosov2001	Майсак, Тимур А. and Татевосов, Сергей Г.	Эвиденциальность	2001	Evidentiality	Наследие	Moscow	293--318	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.											
incollection	maisaktatevosov2007	Maisak, Timur and Tatevosov, Sergei	Beyond evidentiality and mirativity. Evidence from Tsakhur	2007		Peeters	Louvain/Paris/Dudley MA	377--406	L'Énonciation médiatisée II		Guentchéva, Zlatka and Landabaru, John											
book	mallaeva2007	Маллаева, Зулайхат М.	Глагол аварского языка: структура, семантика, функции	2007	The verb in Avar: structure, semantics, functions	ИЯЛИ	Makhachkala															
incollection	martzloff2017	Martzloff, Vincent	The derivational history of ordinal numbers in Armenian, Georgian and other Caucasian languages	2017		Институт языка, литературы и искусства им. Гамзата Цадасы ДНЦ РАН	Makhachkala	154--158	Historical linguistics of the Caucasus: Book of abstracts		Authier, Gilles and Gérardin, Hélène and Magomedov, Magomed and Maisak, Timur								Maksim Melenchenko	09.11.2021		
phdthesis	maxmudova2002	Махмудова, Светлана М.	Грамматические классы слов и грамматические категории рутульского языка	2002	Grammatical word classes and grammatical categories of Rutul											ДГУ						
book	mejlanova1984	Мейланова, Унеизат А.	Будухско-русский словарь	1984	Budukh-Russian dictionary	Наука	Moscow												Chiara Naccarato	31.01.2021		
book	merdanova2004	Мерданова, Солмаз Р.	Морфология и грамматическая семантика агульского языка (на материале хпюкского говора) 	2004	Morphology and grammatical semantics of Agul language based on Khpyuk dialect	РАН ИЯ	Moscow												Corrected (Chiara Naccarato)	01.02.2021		
book	mikailov1967	Микаилов, Казбек Ш.	Арчинский язык	1967	Archi	ИЯЛИ	Makhachkala															
book	mobili2010	Мобили, Роберт Б.	Удинско-азербайджанско-русский словарь	2010	Udi-Azerbaijani-Russian dictionary	Леман	Baku												Polina Smyr	30.08.2021		
misc	molochieva2007	Molochieva, Zarina	Category of evidentiality and mirativity in Chechen	2007								Paper presented at the Conference on the Languages of the Caucasus, 7-9.12.2007, Max Planck Institute EVA, Leipzig					Conference on the Languages of the Caucasus, 7-9.12.2007, Max Planck Institute EVA, Leipzig. Hand-out					
phdthesis	molochieva2010	Molochieva, Zarina	Tense, aspect and mood in Chechen	2010												Universität Leipzig						
incollection	moroz2019	Moroz, George	Phonology of Mehweb	2019		Language Science Press	Berlin	17--37	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry								George Moroz	12.08.2021		
misc	morozetaldraft2021	Moroz, George and Naccarato, Chiara and Verhees, Samira	Godoberi	2021		De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian		Koryakov, Yuri and Maisak, Timur								George Moroz	12.08.2021		
book	musaev2002	Мусаев, Магомед-Саид М.	Даргинский язык	2002	The Dargwa language	Академия	Moscow									ДГУ						
book	musaev2018	Мусаев, Кенесбай М.	Ногайско-русский словарь	2018	Nogai-Russian dictionary	Наука	Moscow												Chiara Naccarato	17.12.2021		
misc	musaeva2010	Мусаева, Зухра Х.	Служебные части речи в даргинском и английском языках	2010	Auxiliary parts of speech in Dargwa and English	ИЯЛИ	Makhachkala										Автореферат диссертации на соискание учёной степени кандидата филологических наук		Polina Nasledskova	05.05.2022		
book	mutalov2002	Муталов, Расул О.	Глагол Даргинского языка	2002	The verb in Dargwa	Издательско-полигрофический центр ДГУ	Makhachkala															
incollection	mutalov2018	Mutalov, Rasul	The tense/aspect system of Standard Dargwa	2018		Brill	Leiden	49--79	The semantics of verbal categories in Nakh-Daghestanian languages		Forker, Diana and Maisak, Timur								Samira Verhees			
book	naftaliev2016	Нафталиев, Мардахай Н.	Еврейско (джуури)-русский словарь	2016	Juhuri-Russian dictionary	СТМЭГИ	Moscow												Samira Verhees	31.01.2021		
incollection	nichols1994	Nichols, Johanna	Chechen	1994		Caravan Press	Delmar, NY	1--77	The Indigenous Languages of the Caucasus, vol. 4: The Northeast Caucasian Languages, Part 2		Smeets, Rieks											
incollection	nichols1994ingush	Nichols, Johanna	Ingush	1994		Caravan Press	Delmar, NY	79--145	The Indigenous Languages of the Caucasus, vol. 4: The Northeast Caucasian Languages, Part 2		Smeets, Rieks								Polina Nasledskova			
book	nichols2011	Nichols, Johanna	Ingush grammar	2011		University of California Press	Berkeley/Los Angeles															
misc	nicholssite	Nichols, Johanna	Useful phrases in Ingush	2021		University of California Press	Berkeley/Los Angeles										Accessed: 2021-12-17	http://linguistics.berkeley.edu/~ingush/useful_phrases.html	Chiara Naccarato	17.12.2021		
misc	omniglotGM	Ager, Simon	Good morning in many languages	2021													Accessed: 2021-12-17	https://omniglot.com/language/phrases/goodmorning.htm	Chiara Naccarato	17.12.2021		
mastersthesis	pasquereau2010	Pasquereau, Jérémy	Formes spatiales des noms en karata: emplois spatiaux et non-spatiaux	2010												Université Lumière Lyon II			Chiara Naccarato			
misc	pasquereaudraft2020	Pasquereau, Jérémy	Karata	2020		De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian		Koryakov, Yuri and Maisak, Timur								Samira Verhees			
misc	polinskydraft2015	Polinsky, Maria 	Tsez Syntax: A Description	2015															Sara Zadykyan			
article	ramattopadze2007	Giacalone Ramat, Anna and Topadze, Manana	The coding of evidentiality: a comparative look at Georgian and Italian.	2007				7--38					Rivista di Linguistica	19	1				Samira Verhees	31.03.2021		
book	ramazanov2010	Рамазанов, Муслим Р.	Агульско-русский словарь	2010	Agul-Russian dictionary	Лотос	Makhachkala												Samira Verhees			
incollection	saadiev1994	Saadiev, Sh. M.	Kryts	1994		Caravan Press	Delmar, NY	407--446	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2		Smeets, Rieks								Chiara Naccarato	19.08.2021	NOT IN THE FOLDER	author name
book	saidova1973	Саидова, Патимат А.	Годоберинский язык. Грамматический очерк, тексты, словарь	1973	Godoberi. Grammar, texts, dictionary	ИЯЛИ	Makhachkala															
incollection	saidova2001	Саидова, Патимат А.	Ботлихский язык	2001	Botlikh	Academia	Moscow	222--228	Языки Российской Федерации и соседних государств. Энциклопедия в трех томах	The languages of Russia and adjacent states. Encyclopaedia in three volumes									Chiara Naccarato	05.02.2021		
book	saidova2006	Саидова, Патимат А.	Годоберинско-русский словарь	2006	Godoberi-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala												Chiara Naccarato	31.01.2021		
book	saidova2007	Саидова, Патимат А.	Закатальский диалект аварского языка	2007	The Zaqatala dialect of Avar	ИЯЛИ	Makhachkala												Samira Verhees			
book	saidova2008	Саидова, Патимат А.	Диалектологический словарь аварского языка	2008	Avar dialect dictionary	Наука	Saint-Petersburg												Polina Smyr	22.08.2021		
book	saidovaabusov2012	Саидова, Патимат А. and Абусов, Магомед Г.	Ботлихско-русский словарь	2012	Botlikh-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Makhachkala												Sara Zadykyan			
book	salimov2010	Салимов, Хангерей Саидович	Гагатлинский говор андийского языка	2010	The Gagatli dialect of Andi	ИЯЛИ	Makhachkala												Samira Verhees		2010 reprint of a 1968 dissertation.	
book	schulze1982	Schulze, Wolfgang	Die Sprache der Uden in Nord-Azerbajdžan	1982		Otto Harrasowitz	Wiesbaden															
misc	schulze2005	Schulze, Wolfgang	A functional grammar of Udi	2005															Polina Nasledskova		NOT IN THE FOLDER	
incollection	schulze2016khinalug	Schulze, Wolfgang	Khinalug	2016		De Gruyter Mouton	Berlin/Boston	3605--3622	Word-Formation. An International Handbook of the Languages of Europe. Volume 5		Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz											
incollection	schulze2016lak	Schulze, Wolfgang	Lak	2016		De Gruyter Mouton	Berlin/Boston	3622--3638	Word-Formation. An International Handbook of the Languages of Europe. Volume 5		Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz										NOT IN THE FOLDER	
incollection	schulze2016udi	Schulze, Wolfgang	Udi	2016		De Gruyter Mouton	Berlin/Boston	3564--3578	Word-Formation. An International Handbook of the Languages of Europe. Volume 5		Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz											
phdthesis	shakhbanova2007	Шахбанова, Джума Н.	Бутринский говор даргинского языка	2007	The Butri dialect of Dargwa											Дагестанский Государственный Педагогический Университет			Chiara Naccarato	19.08.2021	NOT IN THE FOLDER	
incollection	shejkhov1983	Шейхов, Энвер М.	Система послелогов в будухском языке	1983	The system of postpositions in Budukh	Карачаево-черкесский НИИ истории, филологии и экономики	Черкесск	282--287	Система превербов и послелогов в иберийско-кавказских языках	The system of preverbs and postpositions in Caucasian languages	Табулова, Нурья Т. and Темирова, Раиса X.								Anastasia Panova	30.08.2021	NOT IN THE FOLDER	
book	shiralievsevortyan1971	Ширалиев, Мамедага Ш. and Севортян, Эрванд В.	Грамматика азербайджанского языка (фонетика, морфология, синтаксис)	1971	Azerbaijani grammar (phonetics, morphology, syntax)	Элм	Baku															
incollection	sosenskaja1999	Сосенская, Татьяна Б.	Сравнительные конструкции	1999	Comparative constructions	Наследие	Moscow	560--568	Элементы цахурского языка в типологическом освещении	Elements of the Tsakhur language in a typological perspective	Кибрик, Александр Е. and Татевосов, Сергей Г.											
incollection	sosenskaja1999num	Сосенская, Татьяна Б.	Числительное	1999	Numeral	Наследие	Moscow	152-180	Элементы цахурского языка в типологическом освещении	Elements of the Tsakhur language in a typological perspective	Кибрик, Александр Е. and Татевосов, Сергей Г.								Polina Nasledskova			
incollection	sosenskaja1999post	Сосенская, Татьяна Б.	Послелог	1999	Postposition	Наследие	Moscow	121--129	Элементы цахурского языка в типологическом освещении	Elements of the Tsakhur language in a typological perspective	Кибрик, Александр Е. and Татевосов, Сергей Г.								Chiara Naccarato	09.02.2021		
incollection	sosenskaja2001	Сосенская, Татьяна Б.	Сравнительные конструкции	2001	Comparative constructions	Наследие	Moscow	408--424	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.											
incollection	sosenskaja2001pp	Сосенская, Татьяна Б.	Послеложная группа	2001	Postpositional phrase	Наследие	Moscow	405--407	Багвалинский язык. Грамматика, тексты, словари.	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.								Polina Nasledskova	05.05.2022		
incollection	sosenskajatatevosov1996	Sosenskaja, Tatjana and Tatevosov, Sergej	Comparative construction	1996		Lincom Europa	Munich/Newcastle	167--169	Godoberi		Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander											
article	sulejmanova2013	Сулейманова, Джавгарат И.	Названия животных в ботлихском языке	2013	Animal names in Botlikh			195--198					Вестник ВЭГУ	65	3				Chiara Naccarato	05.02.2021		
phdthesis	suleymanov1957	Сулейманов, Я. Г.	Грамматический очерк андийского языка (по данным говора с. Риквани)	1957	A grammar sketch of Andi (based on data from the Rikvani dialect)		Moscow									Институт языкознания РАН СССР			Polina Nasledskova			author name
book	sumbatovalander2014	Сумбатова, Нина Р. and Ландер, Юрий А.	Даргинский говор селения Танты: грамматический очерк. Вопросы синтаксиса	2014		Языки славянской культуры	Moscow												Samira Verhees			
book	sumbatovamutalov2003	Sumbatova, Nina R. and Mutalov, Rasul O.	A Grammar of Icari Dargwa	2003		Lincom Europa	Munich															
book	talibov2007	Талибов, Букар Б.	Будухский язык	2007	Budukh	Академия	Moscow															
book	talibovgadzhiev1966	Талибов, Букар Б. and Гаджиев, Магомед М.	Лезгинско-русский словарь	1966	Lezgian-Russian dictionary	Советская Энциклопедия	Moscow												Samira Verhees	31.01.2021		
incollection	tatevosov1996	Tatevosov, Sergej	Attributives	1996		Lincom Europa	Munich/Newcastle	20—35	Godoberi		Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander											
incollection	tatevosov1996b	Tatevosov, Sergei	Quantification	1996		Lincom Europa	Munich/Newcastle	237-255	Godoberi		Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander								Polina Nasledskova			
article	tatevosov2001	Tatevosov, Sergei	From resultatives to evidentials: Multiple uses of the perfect in Nakh-Daghestanian languages	2001				443--464					Journal of Pragmatics	33	3				Samira Verhees			
incollection	tatevosov2001gramtense	Татевосов, Сергей Г.	Аналитические глагольные формы	2001	Analytical verb forms	Наследие	Moscow	105--115	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.								Samira Verhees			
incollection	tatevosov2001numerals	Татевосов, Сергей Г.	Числительное	2001	Numeral	Наследие	Moscow	155--159	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.											
incollection	tatevosov2007	Татевосов, Сергей Г.	Эвиденциальность и адмиратив в багвалинском языке	2007	Evidentiality and admirative in Bagvalal	Наука	Saint-Petersburg	351--397	Эвиденциальность в языках Европы и Азии: сборник статей памяти Натальи Андреевны Козинцевой	Evidentiality in the languages of Europe and Asia: papers in honor of Natal'ja Andreevna Kozinceva	Храковский, Виктор С.								Samira Verhees			
book	temirbulatova2004	Темирбулатова, Сапияханум М.	Хайдакский диалект даргинского языка	2004	Khaidak dialect of Dargwa	Институт языка, литературы и искусства им. Г. Цадасы	Makhachkala												Polina Nasledskova			
incollection	testelecxalilov1998	Тестелец, Яков Г. and Халилов, Маджид Ш.	Бежтинский язык	1998	Bezhta	Academia	Moscow	44--53	Языки мира. Кавказские языки	Languages of the world. Caucasian languages	Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.								Chiara Naccarato	18.08.2021		
book	vandenberg1995	van den Berg, Helma	A grammar of Hunzib	1995		Lincom	Munich															
book	vandenberg2001	van den Berg, Helma	Dargi folktales. Oral stories from the Caucaus with an introduction to Dargi grammar	2001		CNWS	Leiden															
incollection	verhees2018	Verhees, Samira	The perfect in Avar and Andi: Cross-linguistic variation among two closely related East Caucasian languages	2018		John Benjamins	Amsterdam	261--280	Tense, aspect, modality and evidentiality: Cross-linguistic perspectives		Ayoun, Dalila and Celle, Agnès and Lansari, Laure								Samira Verhees			
misc	verheesnaccarato2019	Verhees, Samira and Naccarato, Chiara	Towards a tentative origin of animacy markers in Botlikh	2019															Polina Nasledskova		NOT IN THE FOLDER	
incollection	wilson2021	Wilson, Daniel J.	A sketch of Sagada morphology	2021		Институт языкознания РАН	Moscow	386--410	Дурхъаси хазна. Сборник статей к 60-летию Р. О. Муталова	Durqasi χazna. A collection of papers for R. O. Mutalov’s 60th birthday	Майсак, Тимур А. and Сумбатова, Нина Р. and Тестелец, Яков Г.								George Moroz	11.08.2021	NOT IN THE FOLDER	
